DOKUMENT-ID,SCHLAGWORT,ART,TEXT,discipline,narrower,broader
AF5004BEFCC38781C1256F230035E518,Abenteuerspielplatz,ND,s. Spielplatz,,,AC6C9E41B02AA991C1256F230035C638
A19A7FB3DF411766C1257A53005D6BBF,Abstich (Schneiderei),ND,s. Handarbeiten,,,9B73C3A0943332EEC1256F230035B7E5
BB395264E1922270C1256F230035CCBB,Ägypten,D,s.a. Reisen (Ägypten),,,7FB6F9988D76BA02C1256F230035C315
6EBFD34751B08ADAC1256F230035E5A7,Ägypten (Reisen),ND,s. Reisen (Ägypten),,,7FB6F9988D76BA02C1256F230035C315
BDA88A419BDA1454C1257A91005E13DF,Allerheiligen,ND,s. Halloween,,,7DF54BAB222BF4DDC1256F460039EE40
E5237FDDB107B420C1257B06004DEB2E,Allerseelen,ND,s. Halloween,,,7DF54BAB222BF4DDC1256F460039EE40
D1F853EE3DEF3398C1257AB8005FF2BF,Anleitung,ND,s. Basteln,,,C852323A0D103F81C1256F230035AFB3
B54686E8AD858963C1257AD7005FAC88,Arcade-Spiel,ND,s. Spiel (Unterhaltung),,,7F7B897A1265489CC1256F230035C634
6D53C548BB1E375AC1256F230035E7D3,Autobücherei,ND,s. Fahrbibliothek,,,C2B0568A4BAFBC09C1256F230035B4DD
26970F8B6A00683DC1256F230035E80F,Bad (Schwimmanlage),ND,s. Schwimmbad,,,EAAED68E57597249C1256F230035C542
4F44B564AA15FA0CC1256F230035E814,Badeanstalt,ND,s. Schwimmbad,,,EAAED68E57597249C1256F230035C542
CD4816F205CA5796C1256F230035E824,Balearen (Reisen),ND,s. Reisen (Spanien),,,97035052C8129BE1C1256F230035C327
29B95B47365FEEB3C1256F230035E837,Baltikum (Reisen),ND,s. Reisen (Europa),,,0EE217B5D3A612DCC1256F230035C31D
75EC02121AF3E0CBC1257B1D005B8969,Bastelanleitung,ND,s. Basteln,,,C852323A0D103F81C1256F230035AFB3
C852323A0D103F81C1256F230035AFB3,Basteln,DS,"Das eigenhändige Fertigen von Objekten in der Freizeit. Hier die Beschreibung verschiedenster Tätigkeiten (z.B. Salzteig, Papierfaltkunst, Seidenmalerei, Töpfern) als Hobby.",Freizeit,,
F17597E3CEDDD00FC1256F230035E87A,Bauspielplatz,ND,s. Spielplatz,,,AC6C9E41B02AA991C1256F230035C638
4854810ED1D70368C1256F230035E8BE,Belgien (Reisen),ND,s. Reisen (Europa),,,0EE217B5D3A612DCC1256F230035C31D
3E6A30B50BF4735EC1257B2F00552914,Benidorm,ND,s. Reisen (Spanien),,,97035052C8129BE1C1256F230035C327
02282D7D11B82E50C1257B30003FAD92,Beobachtungssender,ND,s. Tierbeobachtung (Naturerlebnis),,,D687E70E519BE5DEC1256F230035C7F2
05F3A2CB16AB67F8C1256F230035E921,Besichtigungstour,ND,s. Reisen (Britische Inseln),,,25A9978085E70CFCC1256F230035C31A
079DCF07E9D61C60C1256F230035E926,Besichtigungstour,ND,s. Reisen (Griechenland),,,5451F98E0A724839C1256F230035C31F
0901CDC45337126EC1256F230035E925,Besichtigungstour,ND,s. Reisen (Frankreich),,,1174165B1CC451A9C1256F230035C31E
0A28CB17441680E3C1256F230035E91A,Besichtigungstour,ND,s. Stadtbesichtigung,,,8190A00A0AB1DED1C1256F230035C66D
28E162A8AC35D06DC1256F230035E92B,Besichtigungstour,ND,s. Reisen (Österreich),,,22C0A54C092C8F4DC1256F230035C324
2900447B37B1B651C1256F230035E927,Besichtigungstour,ND,s. Reisen (Indien),,,A37CEEE84AFC795FC1256F230035C320
2A8FDCC7C728C534C1256F230035E91B,Besichtigungstour,ND,s. Reisen (Afrika),,,24E9EDE79757929CC1256F230035C314
4911175D89F80C31C1256F230035E91C,Besichtigungstour,ND,s. Reisen (Ägypten),,,7FB6F9988D76BA02C1256F230035C315
580C31CD26E8CDA8C1256F230035E91D,Besichtigungstour,ND,s. Reisen (Amerika),,,1B83E734D4B829DAC1256F230035C316
6695092660DAEB11C1256F230035E92E,Besichtigungstour,ND,s. Reisen (Spanien),,,97035052C8129BE1C1256F230035C327
73FD3DC0F182437CC1256F230035E91F,Besichtigungstour,ND,s. Reisen (Australien),,,6D6F0A9D2033F4E6C1256F230035C318
783898CC41D3B848C1256F230035E929,Besichtigungstour,ND,s. Reisen (Italien),,,49ED2BE25CBC57B7C1256F230035C322
964989BDF2BAB80DC1256F230035E922,Besichtigungstour,ND,s. Reisen (China),,,8A8DB7F7FD0F4987C1256F230035C31B
A01ED26EBC7E3239C1256F230035E923,Besichtigungstour,ND,s. Reisen (Deutschland),,,74EED10427C7344FC1256F230035C31C
A84ACEF8EC9A9E3BC1256F230035E92C,Besichtigungstour,ND,s. Reisen (Paris),,,D47FFB34941204DEC1256F230035C325
CB80EE9D60E41414C1256F230035E928,Besichtigungstour,ND,s. Reisen (Israel),,,101E0D4A6469C8F4C1256F230035C321
CF38A1CE570F8E7BC1256F230035E931,Besichtigungstour,ND,s. Reisen (USA),,,292AAD658376BB9FC1256F230035C32A
D21370A0F3713922C1256F230035E920,Besichtigungstour,ND,s. Reisen (Brasilien),,,31C010134F731E7CC1256F230035C319
D3C48FAEBDA420BCC1256F230035E91E,Besichtigungstour,ND,s. Reisen (Asien),,,DE94BEEC9EA4FF95C1256F230035C317
D527DC1FE191CBDBC1256F230035E924,Besichtigungstour,ND,s. Reisen (Europa),,,0EE217B5D3A612DCC1256F230035C31D
D81912EA8E9D5C7BC1256F230035E92D,Besichtigungstour,ND,s. Reisen (Skandinavien),,,E7B9DB8BBC6BD671C1256F230035C326
DD8AC36686D2880FC1256F230035E930,Besichtigungstour,ND,s. Reisen (Türkei),,,9F950B521F2EB2F5C1256F230035C329
DDCDF71E1FA3D053C1256F230035E92F,Besichtigungstour,ND,s. Reisen (Thailand),,,EA6967EDEB0AA3A8C1256F230035C328
FB3C7F713462B8D7C1256F230035E92A,Besichtigungstour,ND,s. Reisen (Japan),,,62010505EB02F0D0C1256F230035C323
2A29DB75BF432162C1256F230035B092,Bibliothek,DS,"Öffentliche oder private, planmäßig angelegte Büchersammlung, auch das Gebäude, in dem sie untergebracht ist. Die Bücher können nach Hause verliehen werden oder in der Bibliothek eingesehen werden. Auch Beispiele bekannter Bibliotheken der Welt.",Freizeit,,
DAF5AE496CAB5A49C1256F230035D004,Bibliothek,D,s.a. Fahrbibliothek,,,C2B0568A4BAFBC09C1256F230035B4DD
3905D76565DB9131C1256F230035E977,Bibliotheque Nationale,ND,s. Bibliothek,,,2A29DB75BF432162C1256F230035B092
B56D89FA5A65317AC1257B5D005D95EE,Big Ben,ND,s. Reisen (Britische Inseln),,,25A9978085E70CFCC1256F230035C31A
BEBD87C815058F99C1256F230035E987,Bilderrätsel,ND,s. Rätsel,,,DA629D684F97CB4DC1256F230035C2BB
F7D591D69C36292DC125736B0034060D,Boccia,ND,s. Boulespiel,,,D858ECB4D1C1DED3C1256F230035B149
D858ECB4D1C1DED3C1256F230035B149,Boulespiel,DS,Kugelspiel in Frankreich und Spanien.,Freizeit,,
45737A5E313DFFF9C1256F230035D0DA,Brasilien,D,s.a. Reisen (Brasilien),,,31C010134F731E7CC1256F230035C319
48C9A65A63C60E25C12573ED0041BA7B,Bridge,ND,s. Spiel (Unterhaltung),,,7F7B897A1265489CC1256F230035C634
81D45D105BEB117AC1256F230035EA8F,Britische Inseln (Reisen),ND,s. Reisen (Britische Inseln),,,25A9978085E70CFCC1256F230035C31A
F511132E39CDD639C1256F230035EAC6,Buchstabenrätsel,ND,s. Rätsel,,,DA629D684F97CB4DC1256F230035C2BB
BD889296D3F85B86C12573FA003C2340,Buckingham Palace,ND,s. Reisen (Britische Inseln),,,25A9978085E70CFCC1256F230035C31A
6A4C663D248923C4C12577630052D354,Bücherbus,ND,s. Fahrbibliothek,,,C2B0568A4BAFBC09C1256F230035B4DD
E8AB17A41F6D82E5C1256F230035EAC1,Bücherei,ND,s. Bibliothek,,,2A29DB75BF432162C1256F230035B092
CA372A35FA615577C125772B0050EF7C,Büchersammlung,ND,s. Bibliothek,,,2A29DB75BF432162C1256F230035B092
89FF0CD6BAFAC796C1256F230035EAC2,Bücherwagen,ND,s. Fahrbibliothek,,,C2B0568A4BAFBC09C1256F230035B4DD
D3CBF24721E41570C12573FB00401C70,Büttenrede,ND,s. Karneval,,,32DD13AEF781FCA8C1256F230035BA7F
D6B10F6FFDFC093BC1256F230035B1F6,Camping,DS,"Im Zelt, Wohnwagen oder Wohnmobil auf einem Campingplatz übernachten.",Freizeit,,
5D4CA0C6CF801C89C1257BE30057C061,Campingurlaub,ND,s. Camping,,,D6B10F6FFDFC093BC1256F230035B1F6
08FFF9474FD75417C1256F470039A5F1,Caravaning,ND,s. Camping,,,D6B10F6FFDFC093BC1256F230035B1F6
7F566C3E5CB1D4D1C125741F003A95D8,Centre National d'Art et de Culture Georges Pompidou,ND,s. Reisen (Paris),,,D47FFB34941204DEC1256F230035C325
D5F496CDBF08A3B7C125748900608033,Centre Pompidou,ND,s. Reisen (Paris),,,D47FFB34941204DEC1256F230035C325
1A01D675E8CBD08DC1256F230035B272,Clown,DS,"Ursprünglich lustige Gestalt der englischen Bühne, jetzt Spaßmacher, besonders im Zirkus.",Freizeit,,
AD4F8F6FB6561CD8C1257C0D005A3137,Costa Blanca,ND,s. Reisen (Spanien),,,97035052C8129BE1C1256F230035C327
4C469638FA7594BFC125743200393BD3,Costa Brava,ND,s. Reisen (Spanien),,,97035052C8129BE1C1256F230035C327
AEEEA75DCA1EFBBDC125743200394DAA,Costa del Sol,ND,s. Reisen (Spanien),,,97035052C8129BE1C1256F230035C327
74DD1F7AE941D774C1256F230035D1D6,Dänemark,D,s.a. Reisen (Skandinavien),,,E7B9DB8BBC6BD671C1256F230035C326
D7453AD1447B5EFEC1256F230035EBA9,Dänemark (Reisen),ND,s. Reisen (Skandinavien),,,E7B9DB8BBC6BD671C1256F230035C326
E9B71C42EF188709C1256F230035EBD0,Denkaufgabe,ND,s. Rätsel,,,DA629D684F97CB4DC1256F230035C2BB
D94BB295C0A79192C12572E3002F9429,Denkspielzeug,ND,s. Rätsel,,,DA629D684F97CB4DC1256F230035C2BB
9BF2E34E18FED613C12578AF004BE360,Denksport,ND,s. Rätsel,,,DA629D684F97CB4DC1256F230035C2BB
D4D8F47DBA7D54D5C1256F230035B390,Drache (Spielzeug),DS,"Der Spitzdrache erhält durch den Wind eine nach oben gerichtete Kraft (Auftrieb), die ihn in der Schwebe hält; ähnlich der Kastendrache.",Freizeit,,
484C3AFB7877C8EBC1256F230035D38D,Europa,D,s.a. Reisen (Europa),,,0EE217B5D3A612DCC1256F230035C31D
C947A000C8DF0C85C1256F230035EDC3,Europa (Reisen),ND,s. Reisen (Europa),,,0EE217B5D3A612DCC1256F230035C31D
C1AC4742F335DF90C1256F2A003272D7,Fachbibliothek,ND,s. Bibliothek,,,2A29DB75BF432162C1256F230035B092
C2B0568A4BAFBC09C1256F230035B4DD,Fahrbibliothek,DS,"Bewegliche öffentliche Bücherei zur Versorgung großstädtischer Außenbezirke und ländlicher Gegenden, besucht nach festem Plan einzelne Haltestellen; besonders in den USA, Großbritannien und Skandinavien.",Freizeit,,
2AF3C2399A0B440EC1257CCA005EECF8,Fangen,ND,s. Spielen,,,927568F9AC8C03CEC1256F230035C635
14AFF0758994D70DC1256F230035EE1A,Fasching,ND,s. Karneval,,,32DD13AEF781FCA8C1256F230035BA7F
4490ACA5316DE05EC1256F230035EE1B,Fasenacht,ND,s. Karneval,,,32DD13AEF781FCA8C1256F230035BA7F
20707BEA2E3E1C1FC1256F230035EE1D,Fasnacht,ND,s. Karneval,,,32DD13AEF781FCA8C1256F230035BA7F
26DB5DE72AAFECBEC1256F230035EE20,Fastnacht,ND,s. Karneval,,,32DD13AEF781FCA8C1256F230035BA7F
4E42643425407CD2C1256F230035EE40,Ferien,ND,s. Urlaub,,,6662280995F76975C1256F230035C8F7
5CE71FDFCCA8A7E3C1257CE100586A8B,Ferienlager,ND,s. Urlaub,,,6662280995F76975C1256F230035C8F7
0540B42C76B7E5B0C1257EB500568BC0,Ferienlager,ND,s. Jugendlager,,,C99819F0E1575754C1257EB500566A28
B550FB0BC48B7120C1256F230035B542,Filmen,DS,Die Tätigkeit des Filmens im Allgemeinen vor allem für den Freizeitbereich.,Freizeit,,
7BADF2CB7F7DA690C1256F230035D3DE,Filmherstellung,D,s.a. Filmen,,,B550FB0BC48B7120C1256F230035B542
E50AAECDCBCA69ACC1256F230035D3E6,Finnland,D,s.a. Reisen (Skandinavien),,,E7B9DB8BBC6BD671C1256F230035C326
833C529CD4EC1B9BC1256F230035EE7F,Finnland (Reisen),ND,s. Reisen (Skandinavien),,,E7B9DB8BBC6BD671C1256F230035C326
15495C2278F44047C1257D080057E854,Flugaufnahme,ND,s. Tierbeobachtung (Naturerlebnis),,,D687E70E519BE5DEC1256F230035C7F2
1F3F327F51CC1361C1257FD4005E6FE4,Fotosafari,ND,s. Safari,,,87907C10BDB4D6DCC1257FD4005E532B
9739370CF6426633C1256F230035D435,Frankreich,D,s.a. Reisen (Frankreich),,,1174165B1CC451A9C1256F230035C31E
ED530394C34F864AC1256F230035D436,Frankreich,D,s.a. Reisen (Paris),,,D47FFB34941204DEC1256F230035C325
6C02F14BCA4047CBC1256F230035EEF6,Frankreich (Reisen),ND,s. Reisen (Frankreich),,,1174165B1CC451A9C1256F230035C31E
BD357D13A1A6775FC1256F230035EF15,Freibad,ND,s. Schwimmbad,,,EAAED68E57597249C1256F230035C542
2ADE69FE02F226B9C1256F230035D46C,Freizeit,D,s.a. Freizeitverhalten,,,BE75F7B12921477EC1256F230035B5DE
6054E73D15909844C1256F230035D46B,Freizeit,D,s.a. Freizeitgestaltung,,,D494B6D4843C0D86C1256F230035B5DD
9B15545C78E383D1C1256F230035B5DC,Freizeit,DS,Arbeitsfreie Zeit der Berufstätigen bzw. Schüler etc.; dient der Erholung.,Freizeit,,
AD3122D6581A9DD5C1256F230035D46E,Freizeit,D,s.a. Urlaub,,,6662280995F76975C1256F230035C8F7
CE3D2022E6038061C1256F230035EF28,Freizeitaktivität,ND,s. Freizeitverhalten,,,BE75F7B12921477EC1256F230035B5DE
CEADA215D65512D9C1256F230035EF27,Freizeitaktivität,ND,s. Freizeitgestaltung,,,D494B6D4843C0D86C1256F230035B5DD
76B780777F8F706FC1257D310056DD00,Freizeitarten,ND,s. Freizeitgestaltung,,,D494B6D4843C0D86C1256F230035B5DD
23E2973F35ED11ABC1256F230035EF29,Freizeitbeschäftigung,ND,s. Freizeitgestaltung,,,D494B6D4843C0D86C1256F230035B5DD
827E5AF9D8990AE0C1257D310056FF0B,Freizeiteinrichtung,ND,s. Freizeitgestaltung,,,D494B6D4843C0D86C1256F230035B5DD
B5724236B5D0C6B0C1256F230035EF2A,Freizeiterziehung,ND,s. Freizeit,,,9B15545C78E383D1C1256F230035B5DC
029D34D538DD0A2FC1257552005934B3,Freizeitgestaltung,D,s.a. Camping,,,D6B10F6FFDFC093BC1256F230035B1F6
033324DB02A78E33C1256F230035D478,Freizeitgestaltung,D,s.a. Freizeit,,,9B15545C78E383D1C1256F230035B5DC
076D5EB1B39822FEC125755200596DB6,Freizeitgestaltung,D,s.a. Stadtbesichtigung,,,8190A00A0AB1DED1C1256F230035C66D
10C691659840CFDEC1256F230035D477,Freizeitgestaltung,D,s.a. Spielen,,,927568F9AC8C03CEC1256F230035C635
14228211A35FE692C12575520059F0C2,Freizeitgestaltung,D,s.a. Urlaub,,,6662280995F76975C1256F230035C8F7
18016ECFDFF1B49FC1256F230035D473,Freizeitgestaltung,D,s.a. Reisen (Amerika),,,1B83E734D4B829DAC1256F230035C316
4149E0102C18D9E9C1256F230035D476,Freizeitgestaltung,D,s.a. Reisen (Europa),,,0EE217B5D3A612DCC1256F230035C31D
4B613A0DB9F9E137C1256F230035D471,Freizeitgestaltung,D,s.a. Gartenarbeit,,,EB132BEA35EC105BC1256F230035B643
55B872EE27D75D8CC1256F230035D475,Freizeitgestaltung,D,s.a. Reisen (Australien),,,6D6F0A9D2033F4E6C1256F230035C318
5DEC34F269F17F8DC1256F230035D474,Freizeitgestaltung,D,s.a. Reisen (Asien),,,DE94BEEC9EA4FF95C1256F230035C317
6E3B6D050D335819C1256F230035D47B,Freizeitgestaltung,D,s.a. Modellbau,,,0C1F6A33C9E8BDD4C1256F230035BF32
6E9884DE9DA6DFCDC125755200596444,Freizeitgestaltung,D,s.a. Rätsel,,,DA629D684F97CB4DC1256F230035C2BB
7FD6914AC12A94EEC1257552005946A1,Freizeitgestaltung,D,s.a. Filmen,,,B550FB0BC48B7120C1256F230035B542
8057F6D871761305C125755200591FA1,Freizeitgestaltung,D,s.a. Basteln,,,C852323A0D103F81C1256F230035AFB3
85B880CCCC2C015CC1256F230035D472,Freizeitgestaltung,D,s.a. Reisen (Afrika),,,24E9EDE79757929CC1256F230035C314
98B9C67B21BD76E3C125755200593C44,Freizeitgestaltung,D,s.a. Drache (Spielzeug),,,D4D8F47DBA7D54D5C1256F230035B390
9A35302CD4B2BF4AC125755200595B85,Freizeitgestaltung,D,s.a. Handarbeiten,,,9B73C3A0943332EEC1256F230035B7E5
AA05E42D352A4941C125755200592E72,Freizeitgestaltung,D,s.a. Boulespiel,,,D858ECB4D1C1DED3C1256F230035B149
BA8108575D9A7DA4C1256F230035D46F,Freizeitgestaltung,D,s.a. Freizeitverhalten,,,BE75F7B12921477EC1256F230035B5DE
C488E85FCA631D81C12575520059548D,Freizeitgestaltung,D,s.a. Glücksspiel,,,7470155571CDAF68C1256F230035B710
D494B6D4843C0D86C1256F230035B5DD,Freizeitgestaltung,DS,"Tätigkeiten, die in der arbeitsfreien Zeit ausgeübt werden. Beschäftigung mit der Familie, allgemeine und berufliche Fortbildung, Teilnahme am staatlichen und gesellschaftlichen Leben sowie Ausüben von Hobbys.",Freizeit,,
E1D1B6C4459D1E23C1257D310059E16C,Freizeitnutzung,ND,s. Freizeitgestaltung,,,D494B6D4843C0D86C1256F230035B5DD
45E385AFDB1FB335C1256F230035D47D,Freizeitverhalten,D,s.a. Freizeit,,,9B15545C78E383D1C1256F230035B5DC
46DD0D13C9415766C1256F230035D47C,Freizeitverhalten,D,s.a. Freizeitgestaltung,,,D494B6D4843C0D86C1256F230035B5DD
BE75F7B12921477EC1256F230035B5DE,Freizeitverhalten,DS,Art und Weise der Freizeitgestaltung. Wird die Freizeit sinnvoll verbracht?,Freizeit,,
069C7E3A7AE02C86C1256F230035D487,Fremdenverkehr,D,s.a. Reisen (Deutschland),,,74EED10427C7344FC1256F230035C31C
1CEA1B2381260FE3C1256F230035D48C,Fremdenverkehr,D,s.a. Stadtbesichtigung,,,8190A00A0AB1DED1C1256F230035C66D
1D6C8FB6420D3A07C1256F230035D48B,Fremdenverkehr,D,s.a. Freizeitverhalten,,,BE75F7B12921477EC1256F230035B5DE
271D0E9267BBEB94C1256F230035D486,Fremdenverkehr,D,s.a. Reisen (Australien),,,6D6F0A9D2033F4E6C1256F230035C318
4D1BD52165879B6CC1256F230035D488,Fremdenverkehr,D,s.a. Reisen (Europa),,,0EE217B5D3A612DCC1256F230035C31D
634AF1FC1237484EC1256F230035D485,Fremdenverkehr,D,s.a. Reisen (Asien),,,DE94BEEC9EA4FF95C1256F230035C317
65A641495C39664DC1256F230035D489,Fremdenverkehr,D,s.a. Camping,,,D6B10F6FFDFC093BC1256F230035B1F6
88A4E7D0AE01CA60C1256F230035D483,Fremdenverkehr,D,s.a. Reisen (Afrika),,,24E9EDE79757929CC1256F230035C314
A7D265EFF051FB0EC1256F230035D48A,Fremdenverkehr,D,s.a. Freizeitgestaltung,,,D494B6D4843C0D86C1256F230035B5DD
D273FAB6328B8913C1256F230035D484,Fremdenverkehr,D,s.a. Reisen (Amerika),,,1B83E734D4B829DAC1256F230035C316
98E9BB6F148DA728C125760D0036C3E9,Garmethode,D,s.a. Kochen (Gericht),,,FDD689A0E6074DB6C125760D0036A3FE
6E35EA1323A303D4C1256F230035D4B3,Garten,D,s.a. Gartenarbeit,,,EB132BEA35EC105BC1256F230035B643
EB132BEA35EC105BC1256F230035B643,Gartenarbeit,DS,"Anleitungen, Vorschläge zur Pflege des Gartens mit Zier- und/oder Nutzpflanzen inclusive Rasen für Freizeitgärtner.",Freizeit,,
11E808498D00A580C1256F230035D4B9,Gartenbau,D,s.a. Gartenarbeit,,,EB132BEA35EC105BC1256F230035B643
AAAF6D1BD7904362C12572E3002FB950,Geduldsspiel,ND,s. Rätsel,,,DA629D684F97CB4DC1256F230035C2BB
40C615AB60EF874EC125733600482299,Gesellschaftsspiel,ND,s. Spiel (Unterhaltung),,,7F7B897A1265489CC1256F230035C634
7470155571CDAF68C1256F230035B710,Glücksspiel,DS,"Vom Zufall abhängiges Spiel mit Karten, Würfeln, Kugeln, Nummern, z.B. Roulette, Bakkarat. Auch die Glücksspielsucht.",Freizeit,,
FA419F901156ACB1C1257DBF003A04BA,Golfküste,ND,s. Reisen (USA),,,292AAD658376BB9FC1256F230035C32A
44B53E719E40A2DEC1256F230035D5C2,Griechenland,D,s.a. Reisen (Griechenland),,,5451F98E0A724839C1256F230035C31F
784052EFA40324CAC1256F230035F0AB,Griechenland (Reisen),ND,s. Reisen (Griechenland),,,5451F98E0A724839C1256F230035C31F
04BD6ECBF88348DEC1256F230035D5DE,Großbritannien,D,s.a. Reisen (Britische Inseln),,,25A9978085E70CFCC1256F230035C31A
998760FC346165CDC1256F230035F0BC,Großbritannien (Reisen),ND,s. Reisen (Britische Inseln),,,25A9978085E70CFCC1256F230035C31A
DC137ABBCBAEDB01C1256F230035F109,Häkeln,ND,s. Handarbeiten,,,9B73C3A0943332EEC1256F230035B7E5
68ACAB8D07F6E259C1256F230035F10E,Hallenbad,ND,s. Schwimmbad,,,EAAED68E57597249C1256F230035C542
3C0E7D5518B55E48C1257E040055B8A6,Hallenfreibad,ND,s. Schwimmbad,,,EAAED68E57597249C1256F230035C542
7DF54BAB222BF4DDC1256F460039EE40,Halloween,DS,"Vorabend von Allerheiligen; Fest keltischen Ursprungs. Wurde im Zuge der Christianisierung Irlands zu einem christlichen Lichterfest, um die Finsternis des Todes zu vertreiben. Durch irische Einwanderer im 19. Jh. in die USA gebracht, gelangte Halloween von dort in den 1980er Jahren als säkularisiertes Fest nach Europa zurück.",Freizeit,,
F1BEA352C29EB536C125733600483A65,Halma,ND,s. Spiel (Unterhaltung),,,7F7B897A1265489CC1256F230035C634
11DFAB6397585162C1257E06005E6731,Handarbeit,ND,s. Handarbeiten,,,9B73C3A0943332EEC1256F230035B7E5
9B73C3A0943332EEC1256F230035B7E5,Handarbeiten,DS,"Nähen, Sticken, Stricken, Häkeln, Flechten, Klöppeln, Knüpfen, Weben.",Freizeit,,
35E6F42CD7E1351AC1256F230035D623,Handwerk,D,s.a. Handarbeiten,,,9B73C3A0943332EEC1256F230035B7E5
8A46CBB32A7D3456C1256F230035F1E7,Hobby,ND,s. Freizeitgestaltung,,,D494B6D4843C0D86C1256F230035B5DD
6D2D52F1AD5D5921C1257E5200568985,Holzspielzeug,ND,s. Spielen,,,927568F9AC8C03CEC1256F230035C635
4781D5436BA968E3C1256F230035F273,Ikebana,ND,s. Basteln,,,C852323A0D103F81C1256F230035AFB3
D990C22E77623C7EC1256F230035F287,Indien (Reisen),ND,s. Reisen (Indien),,,A37CEEE84AFC795FC1256F230035C320
959A61829A881222C1256F230035D6F3,Informationswesen,D,s.a. Bibliothek,,,2A29DB75BF432162C1256F230035B092
7D7F4A54420B2DABC1256F230035F2D7,Irland (Reisen),ND,s. Reisen (Britische Inseln),,,25A9978085E70CFCC1256F230035C31A
CB4FA3213B37600FC1256F230035D726,Irland (Republik),D,s.a. Reisen (Britische Inseln),,,25A9978085E70CFCC1256F230035C31A
B8AD5DE74AE312E9C1256F230035F2E4,Israel (Reisen),ND,s. Reisen (Israel),,,101E0D4A6469C8F4C1256F230035C321
BAB4DB5E2E0639D1C1256F230035D732,Israel (Republik),D,s.a. Reisen (Israel),,,101E0D4A6469C8F4C1256F230035C321
E63D7566C4D5BD0CC1256F230035D744,Italien,D,s.a. Reisen (Italien),,,49ED2BE25CBC57B7C1256F230035C322
948E9F3EE3E01441C1256F230035F2E6,Italien (Reisen),ND,s. Reisen (Italien),,,49ED2BE25CBC57B7C1256F230035C322
575EEA3D408C06F0C1257EAB003469B9,Japan,D,s.a. Reisen (Japan),,,62010505EB02F0D0C1256F230035C323
1568BB6BA52D3E45C1257EAB00345E79,Japanische Alpen,ND,s. Reisen (Japan),,,62010505EB02F0D0C1256F230035C323
4A01D4D81B241E2DC1257EB50056937D,Jugendarbeit,ND,s. Jugendlager,,,C99819F0E1575754C1257EB500566A28
C99819F0E1575754C1257EB500566A28,Jugendlager,DS,"Ferienlager/Jugendlager ist ein Oberbegriff für Ferienveranstaltungen in der Jugendarbeit, die als Gruppenfahrt durchgeführt werden. Ferienlager werden als Zeltlager, in Unterkünften mit Selbstversorgung, Jugendherbergen oder ähnlichen Einrichtungen durchgeführt.",Freizeit,,
FDC0CD45B459B313C1256F230035BA30,Jugendzentrum,DS,"Ort, Einrichtung, in der Jugendliche ihre Freizeit verbringen können, wobei häufig sie selbst Aktivitäten planen und ausführen, häufig kirchliche Einrichtungen.",Freizeit,,
324621C602079508C1256F230035F36A,Kanaren (Reisen),ND,s. Reisen (Spanien),,,97035052C8129BE1C1256F230035C327
32DD13AEF781FCA8C1256F230035BA7F,Karneval,DS,"Zunächst die Nacht vor Aschermittwoch, später die Woche davor und auch danach, als Beginn der Fasten vor Ostern schon im Mittelalter mit Schmausereien, Vermummungen, Aufzügen begangen.",Freizeit,,
5F443D64E6297E58C125715C002E9608,Karten (Spiel),ND,s. Spiel (Unterhaltung),,,7F7B897A1265489CC1256F230035C634
